Metric                                                                                                          raw                  v6
smsp__pcsamp_sample_count                                                                                 2.251e+04           2.158e+04
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                               9190                6883
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                               376                2048
smsp__pcsamp_warps_issue_stalled_wait                                                                          4250                4351
smsp__pcsamp_warps_issue_stalled_barrier                                                                       1638                 921
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                            3905                2600
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                   439                 788
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                    511                   3
smsp__pcsamp_warps_issue_stalled_not_selected                                                                     0                 321
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                  59                 158
smsp__pcsamp_warps_issue_stalled_drain                                                                            0                   9
smsp__pcsamp_warps_issue_stalled_no_instructions                                                                106                 216
smsp__pcsamp_warps_issue_stalled_selected                                                                      1958                2777
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                                59                 409
smsp__pcsamp_warps_issue_stalled_membar                                                                           0                   0
