file,abba_position,backend,label,context_len,output_tokens,ttft_ms,decode_seconds,tpot_ms,engine_e2e_seconds,capacity_tokens,num_blocks,performance_valid,preemptions,token_ids_sha256,hybrid_fatal,hybrid_raw_page_count
production_o128_r1_a_raw.jsonl,A,raw,Raw FA2,65536,128,22080.55877685547,5.103426198009402,40.18445825204253,27.180880008963868,152576,9536,True,0,7c9dd1414696010285f848b52249e8e645f1708c1c4e713adc58629f4ae5efcf,,
production_o128_r1_b_byte.jsonl,B,bytev2,ByteV2 V6-256,65536,128,22656.61883354187,4.844931758008897,38.14906896069998,27.498472684063017,194112,12132,True,0,7c9dd1414696010285f848b52249e8e645f1708c1c4e713adc58629f4ae5efcf,0,32
production_o128_r1_c_byte.jsonl,C,bytev2,ByteV2 V6-256,65536,128,22865.727186203003,4.848307899897918,38.175652755101716,27.710969313047826,194112,12132,True,0,7c9dd1414696010285f848b52249e8e645f1708c1c4e713adc58629f4ae5efcf,0,32
production_o128_r1_d_raw.jsonl,D,raw,Raw FA2,65536,128,22932.36756324768,5.1075030830688775,40.21655970920376,28.03664657101035,152576,9536,True,0,7c9dd1414696010285f848b52249e8e645f1708c1c4e713adc58629f4ae5efcf,,
