seq_len,num_splits,backend,label,repetitions,samples_per_repetition,calls_per_sample,total_calls_per_repetition,median_of_repetition_medians_us,mean_of_repetition_medians_us,min_repetition_median_us,max_repetition_median_us,median_paired_gap_vs_raw_percent
4096,16,raw,Raw FA2,5,60,20,1200,49.10080134868622,49.187839925289154,48.71679991483688,49.71520006656647,0.0
4096,16,bytev2,ByteV2 V6-256,5,60,20,1200,50.6879985332489,50.698240995407104,50.278401374816895,51.123201847076416,3.1512662459451057
4096,16,splitzip,SplitZip V5 envelope,5,60,20,1200,50.6879985332489,50.75456142425537,50.380802154541016,51.22560262680054,3.2325280666832823
16384,19,raw,Raw FA2,5,60,20,1200,133.73440504074097,133.71392488479614,133.6832046508789,133.73440504074097,0.0
16384,19,bytev2,ByteV2 V6-256,5,60,20,1200,118.6303973197937,118.62015724182129,118.42559576034546,118.73279809951782,-11.294032912731744
16384,19,splitzip,SplitZip V5 envelope,5,60,20,1200,119.88479495048523,119.87967729568481,119.70560550689697,119.98719573020935,-10.356056159248306
65536,20,raw,Raw FA2,10,60,20,1200,465.8560037612915,465.8687973022461,465.74079990386963,466.048002243042,0.0
65536,20,bytev2,ByteV2 V6-256,10,60,20,1200,406.57920837402344,406.6431951522827,406.27198219299316,407.14240074157715,-12.712282609225529
65536,20,splitzip,SplitZip V5 envelope,10,60,20,1200,410.8803987503052,410.6394386291504,409.62560176849365,411.4432096481323,-11.822793230553842
