===== raw =====
Kernel: flash_fwd_splitkv_kernel

launch__grid_size                                                                               = 160
smsp__pcsamp_warps_issue_stalled_barrier                                                        = 1638
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                             = 3905
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                   = 439
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                    = 511
smsp__pcsamp_warps_issue_stalled_not_selected                                                   = 0
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                 = 59
smsp__pcsamp_warps_issue_stalled_drain                                                          = 0
smsp__pcsamp_warps_issue_stalled_no_instructions                                                = 106
smsp__pcsamp_warps_issue_stalled_selected                                                       = 1958
smsp__pcsamp_warps_issue_stalled_branch_resolving                                               = 59
smsp__pcsamp_warps_issue_stalled_membar                                                         = 0
